character,offset,finger,need_modify
"a",0,4,0
"o",0,3,0
"e",0,2,0
"u",0,1,0
"i",0,1,0
"d",0,1,0
"h",0,1,0
"t",0,2,0
"n",0,3,0
"s",0,4,0
"-",0,4,0
"_",0,4,1
";",1,4,0
":",1,4,1
",",1,3,0
"<",1,3,1
".",1,2,0
">",1,2,1
"p",1,1,0
"y",1,1,0
"f",1,1,0
"g",1,1,0
"c",1,2,0
"r",1,3,0
"l",1,4,0
"/",1,4,0
"?",1,4,1
"@",1,4,0
"^",1,4,1
"\",1,4,0
"|",1,4,1
"'",1,4,0
"""",1,4,1
"q",1,3,0
"j",1,2,0
"k",1,1,0
"x",1,1,0
"b",1,1,0
"m",1,2,0
"w",1,3,0
"v",1,4,0
"z",1,4,0
"$",2,4,0
"~",2,4,1
"&",2,4,0
"%",2,4,1
"[",2,3,0
"7",2,3,1
"{",2,2,0
"5",2,2,1
"}",2,1,0
"3",2,1,1
"(",2,1,0
"1",2,1,1
"=",2,1,0
"9",2,1,1
"*",2,1,0
"0",2,1,1
")",2,2,0
"2",2,2,1
"+",2,3,0
"4",2,3,1
"]",2,4,0
"6",2,4,1
"!",2,4,0
"8",2,4,1
"`",2,4,0
"#",2,4,1
