character,offset,finger,need_modify
"a",0,4,0
"s",0,3,0
"d",0,2,0
"f",0,1,0
"g",0,1,0
"h",0,1,0
"j",0,1,0
"k",0,2,0
"l",0,3,0
";",0,4,0
":",0,4,1
"'",0,4,0
"""",0,4,1
"q",1,4,0
"w",1,3,0
"e",1,2,0
"r",1,1,0
"t",1,1,0
"y",1,1,0
"u",1,1,0
"i",1,2,0
"o",1,3,0
"p",1,4,0
"[",1,4,0
"]",1,4,0
"{",1,4,1
"}",1,4,1
"\",1,4,0
"|",1,4,1
"z",1,4,0
"x",1,3,0
"c",1,2,0
"v",1,1,0
"b",1,1,0
"n",1,1,0
"m",1,2,0
"<",1,3,1
",",1,3,0
">",1,4,1
".",1,4,0
"?",1,4,1
"/",1,4,0
"`",2,4,0
"~",2,4,1
"1",2,4,0
"!",2,4,1
"2",2,3,0
"@",2,3,1
"3",2,2,0
"#",2,2,1
"4",2,1,0
"$",2,1,1
"5",2,1,0
"%",2,1,1
"6",2,1,0
"^",2,1,1
"7",2,1,0
"&",2,1,1
"8",2,2,0
"*",2,2,1
"9",2,3,0
"(",2,3,1
"0",2,4,0
")",2,4,1
"_",2,4,1
"-",2,4,0
"=",2,4,0
"+",2,4,1
